DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2018-01-01,8,6,32,6,8,6,20.8,86,8.5,1006,91.75,8,5,1,119,122,308,0,2,3,météo très défavorable,16:47:00,08:41:00,7
2018-01-02,8,4,23,5,7,7,5,86,8.625,1015,83.125,8,6,0,122,122,296,0,2,4.9,météo très défavorable,16:48:00,08:41:00,5
2018-01-03,12,7,44,9,9,7,12.7,74,8.75,1003,77.875,12,10,2,389,119,353,0,2,3,météo défavorable,16:49:00,08:41:00,12
2018-01-04,12,6,36,7,10,10,9.5,95,7.25,1003,83.375,12,10,3,266,302,353,0,2,3,météo défavorable,16:50:00,08:41:00,6
2018-01-05,9,5,22,8,9,7,0.7,89,9.875,1002,71.625,9,6,4,176,122,116,0,2,3,météo défavorable,16:51:00,08:40:00,9
2018-01-06,7,4,11,4,7,5,0.6,95,7,1014,78.5,7,6,1,143,122,122,0,3,3,météo très défavorable,16:53:00,08:40:00,4
2018-01-07,5,3,28,4,4,3,1.8,89,6.875,1024,97.25,5,4,-2,266,266,119,0,1,3.1,météo très défavorable,16:54:00,08:40:00,4
2018-01-08,7,2,18,2,7,4,0,89,10,1024,56.875,7,3,-2,122,116,116,0,1,6.8,météo très défavorable,16:55:00,08:39:00,2
2018-01-09,6,2,15,2,6,5,0,91,10,1016,51.875,6,4,-0,116,122,116,0,2,6.8,météo très défavorable,16:57:00,08:39:00,2
2018-01-10,7,4,20,5,7,4,6.1,92,7.25,1010,91.125,7,4,1,302,296,296,0,2,3.1,météo très défavorable,16:58:00,08:38:00,5
2018-01-11,8,3,9,3,8,5,0.3,93,7.75,1022,70.5,8,5,2,119,116,143,0,2,6.8,météo très défavorable,16:59:00,08:38:00,4
2018-01-12,6,3,6,5,6,5,0.6,98,4.25,1026,85.625,6,5,3,248,266,119,0,2,3.2,météo très défavorable,17:01:00,08:37:00,5
2018-01-13,6,1,12,2,6,2,0,93,10,1026,15.625,6,2,-1,113,113,113,0,2,8.7,météo très défavorable,17:02:00,08:36:00,2
2018-01-14,6,0,13,0,6,2,0,92,10,1020,17.125,6,2,-3,113,113,113,0,2,8.7,météo très défavorable,17:04:00,08:36:00,0
2018-01-15,8,2,45,3,6,7,12.8,92,7.875,1018,81,8,6,-2,122,266,302,0,3,3.3,météo très défavorable,17:05:00,08:35:00,2
2018-01-16,7,4,34,6,7,5,8.1,90,8.25,997,60.25,7,5,1,296,176,353,0,2,8.7,météo très défavorable,17:07:00,08:34:00,6
2018-01-17,5,2,32,2,5,3,2,73,9.625,1010,81.625,5,1,-4,371,122,116,0.2,1,3.3,météo très défavorable,17:08:00,08:33:00,3
2018-01-18,9,4,51,8,8,5,7.8,85,8.375,1008,83,9,6,3,302,119,353,0,2,3.3,météo défavorable,17:10:00,08:32:00,5
2018-01-19,5,1,21,1,5,2,2.8,89,9.75,1011,36.75,5,2,-4,116,122,182,0,1,6.9,météo très défavorable,17:11:00,08:31:00,2
2018-01-20,4,1,19,2,4,2,12,96,8.625,1011,90.625,4,2,-3,122,302,302,0,1,3.3,météo très défavorable,17:13:00,08:30:00,2
2018-01-21,5,-1,10,-1,5,2,7,95,7.25,1017,86.5,5,1,-5,368,122,266,0.5,1,5.1,météo très défavorable,17:15:00,08:29:00,2
2018-01-22,8,2,16,7,8,5,12.2,99,9.125,1019,81.125,8,8,4,353,296,116,0,2,5.1,météo très défavorable,17:16:00,08:28:00,5
2018-01-23,10,4,29,5,10,9,0.4,89,9,1023,72,10,8,1,119,116,122,0,2,6.9,météo très défavorable,17:18:00,08:27:00,4
2018-01-24,12,10,39,11,12,10,0.7,91,9,1020,88.5,12,10,8,353,119,119,0,3,3.4,météo défavorable,17:20:00,08:26:00,11
2018-01-25,10,6,16,8,8,7,8.1,93,6.375,1013,93.875,10,8,5,296,122,266,0,2,3.4,météo défavorable,17:21:00,08:25:00,8
2018-01-26,8,4,9,4,8,5,0,96,7,1026,72.125,8,5,2,143,119,119,0,2,5.1,météo très défavorable,17:23:00,08:24:00,5
2018-01-27,7,2,21,2,7,4,0.2,96,6,1032,37.125,7,3,-0,143,113,113,0,1,8.7,météo très défavorable,17:25:00,08:22:00,2
2018-01-28,10,5,23,6,9,10,1.9,93,6.875,1033,97.375,10,8,2,266,122,122,0,2,3.4,météo défavorable,17:26:00,08:21:00,5
2018-01-29,9,8,32,9,9,9,1.5,88,7,1032,91.875,9,8,5,122,266,266,0,2,3.4,météo défavorable,17:28:00,08:20:00,8
2018-01-30,9,3,10,3,8,7,0.2,94,8,1031,38.375,9,6,2,143,113,119,0,3,6.9,météo très défavorable,17:30:00,08:18:00,4
2018-01-31,9,5,38,8,9,7,17.6,89,7.625,1020,85.75,9,8,2,302,296,302,0,2,3.4,météo très défavorable,17:32:00,08:17:00,9
2018-02-01,4,0,26,1,4,2,0.8,88,9.5,1005,53.625,4,2,-4,122,122,116,0.1,2,3.4,météo très défavorable,17:33:00,08:15:00,2
2018-02-02,4,-1,25,1,4,1,12.6,95,8,1010,86.25,4,3,-4,320,389,362,0.3,1,5.2,météo très défavorable,17:35:00,08:14:00,2
2018-02-03,5,0,12,0,5,2,4.1,94,5.5,1010,95.75,5,1,-3,143,317,371,1.8,1,3.5,météo très défavorable,17:37:00,08:12:00,0
2018-02-04,2,-2,20,-1,2,-1,1.3,87,7.625,1025,61.5,2,0,-7,323,122,371,1.1,1,5.2,météo très défavorable,17:39:00,08:11:00,1
2018-02-05,4,-3,21,-2,4,-0,0,78,10,1025,33.125,4,0,-8,119,113,113,0,2,8.7,météo très défavorable,17:40:00,08:09:00,-2
2018-02-06,1,-2,14,-2,1,-1,1.7,81,6.375,1020,87.625,1,0,-6,122,122,338,1.4,2,3.5,météo très défavorable,17:42:00,08:08:00,-2
2018-02-07,0,-4,13,-4,0,-3,0.1,76,10,1020,57.875,0,0,-8,119,116,116,0.1,1,8.7,météo très défavorable,17:44:00,08:06:00,-3
2018-02-08,2,-4,5,-4,2,-1,0,77,10,1021,29.875,2,0,-4,113,119,113,0,2,5.3,météo très défavorable,17:46:00,08:05:00,-4
