DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2010-01-01,-1,-4,25,-1,-1,-2,1.3,90,6.125,1008,79.875,0,0,-8,122,338,335,1.1,1,3,météo très défavorable,16:47:00,08:41:00,-1
2010-01-02,1,-4,16,-4,1,-1,0.1,94,9.375,1018,51.125,1,0,-8,116,116,119,0.1,2,4.9,météo très défavorable,16:48:00,08:41:00,-4
2010-01-03,0,-6,21,-1,-4,-6,3.3,95,4.875,1024,57.5,0,0,-11,338,335,143,2.5,1,8.1,météo très défavorable,16:49:00,08:41:00,0
2010-01-04,-5,-9,8,-9,-5,-6,0.1,95,7.375,1023,47.125,0,0,-9,143,119,116,0.1,2,6.8,météo très défavorable,16:50:00,08:41:00,-8
2010-01-05,-2,-6,10,-3,-2,-6,0.3,95,8,1013,50.375,0,0,-8,116,116,116,0.3,1,8.1,météo très défavorable,16:51:00,08:40:00,-3
2010-01-06,-3,-8,9,-8,-3,-7,0.1,90,9.625,1006,32.625,0,0,-11,116,113,119,0.1,2,8.1,météo très défavorable,16:53:00,08:40:00,-7
2010-01-07,-3,-8,9,-8,-3,-7,0.1,91,8.625,1015,31.5,0,0,-11,116,113,113,0.1,1,8.1,météo très défavorable,16:54:00,08:40:00,-6
2010-01-08,-4,-9,31,-8,-4,-6,0.4,96,5.5,1019,60.875,0,0,-15,116,116,230,0,1,6.8,météo très défavorable,16:55:00,08:39:00,-9
2010-01-09,-3,-6,37,-5,-3,-3,5.2,91,0.25,1018,100,0,0,-14,230,230,230,0.3,1,3.1,météo très défavorable,16:57:00,08:39:00,-6
2010-01-10,-2,-5,18,-4,-2,-3,2.5,92,3.5,1017,88.875,0,0,-9,338,338,335,2.1,1,3.1,météo très défavorable,16:58:00,08:38:00,-3
2010-01-11,-2,-8,10,-5,-2,-3,1.4,96,3.75,1019,82.375,0,0,-8,329,338,338,1.2,1,3.1,météo très défavorable,16:59:00,08:38:00,-8
2010-01-12,-1,-4,17,-3,-1,-3,1,97,6.625,1019,81.375,0,0,-8,338,329,119,0.9,1,3.2,météo très défavorable,17:01:00,08:37:00,-3
2010-01-13,0,-4,22,-3,0,-1,2.6,92,6.25,1006,68.375,0,0,-9,119,338,317,1.8,2,3.2,météo très défavorable,17:02:00,08:36:00,-4
2010-01-14,3,-3,21,1,3,-2,0.4,97,8.375,1012,35.5,3,1,-4,116,113,113,0,1,8.7,météo très défavorable,17:04:00,08:36:00,1
2010-01-15,2,-3,13,-3,2,-2,0,96,6,1025,46.375,2,0,-7,143,116,143,0,1,8.7,météo très défavorable,17:05:00,08:35:00,-3
2010-01-16,2,-2,38,-0,0,1,5.4,92,8.5,1024,71.25,2,1,-8,116,119,302,0,2,5.1,météo très défavorable,17:07:00,08:34:00,-1
2010-01-17,5,2,30,4,5,3,10.9,99,9,1022,76.5,5,4,-1,302,299,119,0,1,5.1,météo très défavorable,17:08:00,08:33:00,3
2010-01-18,4,2,15,2,4,3,0.3,97,7.75,1027,76.375,4,3,-2,116,119,266,0,1,3.3,météo très défavorable,17:10:00,08:32:00,2
2010-01-19,6,1,10,3,6,1,0.2,96,6,1026,66.75,6,4,0,143,116,143,0,1,6.9,météo très défavorable,17:11:00,08:31:00,3
2010-01-20,3,-1,22,-1,3,-1,0,92,9,1019,28.625,3,0,-6,113,113,116,0,1,8.7,météo très défavorable,17:13:00,08:31:00,-1
2010-01-21,4,-2,8,-1,4,2,1,95,4,1023,74.25,4,2,-4,143,266,266,0,2,3.3,météo très défavorable,17:15:00,08:29:00,-1
2010-01-22,5,-2,14,-2,5,-0,0.1,94,7,1024,31.625,5,1,-5,143,116,113,0,1,8.7,météo très défavorable,17:16:00,08:28:00,0
