DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2019-01-01,7,6,20,7,7,6,0.8,95,9,1034,91.75,7,6,3,122,122,119,0,2,3,météo très défavorable,16:47:00,08:41:00,7
2019-01-02,5,2,21,4,5,2,0.2,78,10,1040,59.125,5,1,1,119,176,116,0,2,4.9,météo très défavorable,16:48:00,08:41:00,3
2019-01-03,5,1,10,3,5,2,0.4,91,10,1040,74.875,5,2,1,119,119,119,0,1,3,météo très défavorable,16:49:00,08:41:00,3
2019-01-04,4,1,15,1,4,2,0.1,95,9,1040,87.75,4,2,-1,143,122,122,0,2,3,météo très défavorable,16:50:00,08:41:00,1
2019-01-05,7,3,22,5,7,5,1.4,96,8,1036,95.75,7,5,1,122,266,353,0,2,3,météo très défavorable,16:51:00,08:40:00,4
2019-01-06,5,3,14,3,5,3,0.8,94,9.375,1035,92.5,5,3,-1,122,176,353,0,1,3,météo très défavorable,16:52:00,08:40:00,3
2019-01-07,8,3,17,3,6,7,2.1,98,4.375,1035,97.625,8,6,1,248,122,266,0,2,3.1,météo très défavorable,16:54:00,08:40:00,4
2019-01-08,9,5,31,6,7,6,4.6,88,7.625,1024,93.625,9,8,2,122,122,122,0,2,3.1,météo défavorable,16:55:00,08:39:00,7
2019-01-09,5,1,23,4,5,2,0.8,81,10,1024,47.125,5,1,-1,122,113,113,0,2,6.8,météo très défavorable,16:56:00,08:39:00,4
2019-01-10,3,-1,12,-1,3,1,0.4,93,8.75,1028,75.625,3,0,-4,119,122,332,0.3,2,3.1,météo très défavorable,16:58:00,08:38:00,0
2019-01-11,6,2,16,3,6,5,3.3,97,4.75,1027,100,6,5,-1,296,122,266,0,1,3.1,météo très défavorable,16:59:00,08:38:00,2
2019-01-12,6,2,26,2,6,6,7.9,96,7.375,1027,92.875,6,5,-2,122,296,302,0,1,3.2,météo très défavorable,17:00:00,08:37:00,3
2019-01-13,9,5,32,7,9,9,11.8,94,8.25,1015,95.625,9,8,3,296,296,296,0,2,3.2,météo défavorable,17:02:00,08:37:00,6
2019-01-14,7,2,23,6,7,3,1.9,87,10,1022,81,7,4,2,122,122,119,0,2,3.3,météo très défavorable,17:03:00,08:36:00,6
2019-01-15,7,1,21,1,7,6,0.5,94,9,1022,80.875,7,5,-4,353,122,122,0,1,5.1,météo très défavorable,17:05:00,08:35:00,1
2019-01-16,5,2,25,2,5,2,0.1,88,10,1017,85.25,5,3,-3,122,122,116,0,1,5.1,météo très défavorable,17:06:00,08:34:00,4
2019-01-17,5,1,27,4,5,2,2.3,95,9.125,1015,75.75,5,4,-2,119,122,371,0.8,1,3.3,météo très défavorable,17:08:00,08:33:00,5
2019-01-18,4,-1,7,-1,4,0,0,90,10,1020,50,4,0,-3,113,116,122,0,2,6.9,météo très défavorable,17:09:00,08:33:00,-1
