DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2009-01-01,0,-5,12,-5,0,-5,0,78,10,1030,12.875,0,0,-7,113,113,116,0,2,8.1,météo très défavorable,16:47:00,08:41:00,-3
2009-01-02,-1,-6,13,-6,-1,-3,0.2,91,9.375,1029,50.5,0,0,-8,113,332,326,0.2,2,3,météo très défavorable,16:48:00,08:41:00,-6
2009-01-03,1,-6,13,-6,1,-5,0,95,9,1030,19.5,1,0,-10,143,113,113,0,2,8.1,météo très défavorable,16:49:00,08:41:00,-4
2009-01-04,-1,-6,19,-6,-1,-3,0,90,10,1026,69.375,0,0,-11,119,116,122,0,2,6.8,météo très défavorable,16:51:00,08:41:00,-6
2009-01-05,-1,-4,28,-3,-1,-3,7.8,96,3.875,1024,96.875,0,0,-9,338,338,230,6,1,3,météo très défavorable,16:52:00,08:40:00,-4
2009-01-06,-5,-10,17,-9,-7,-10,0,91,10,1026,11.625,0,0,-17,113,113,113,0,1,8.1,météo très défavorable,16:53:00,08:40:00,-7
2009-01-07,-4,-14,8,-12,-4,-4,0.2,95,9.375,1026,52.875,0,0,-15,116,116,323,0.1,2,3.1,météo très défavorable,16:54:00,08:40:00,-14
2009-01-08,-2,-8,13,-7,-2,-8,0.1,93,8.625,1031,10.375,0,0,-11,113,113,113,0.1,1,8.2,météo très défavorable,16:56:00,08:39:00,-5
2009-01-09,-3,-9,14,-9,-3,-8,0,85,10,1031,4.75,0,0,-14,113,113,113,0,2,8.2,météo très défavorable,16:57:00,08:39:00,-9
2009-01-10,-3,-10,14,-10,-3,-6,0,85,10,1030,1,0,0,-14,113,113,113,0,2,8.2,météo très défavorable,16:58:00,08:38:00,-9
2009-01-11,-1,-5,23,-5,-1,-2,0,84,10,1032,10.375,0,0,-11,113,113,113,0,2,8.6,météo très défavorable,17:00:00,08:38:00,-5
2009-01-12,3,-2,34,-1,1,2,0,71,10,1028,29.375,3,0,-8,116,116,116,0,2,6.9,météo très défavorable,17:01:00,08:37:00,-1
2009-01-13,3,1,26,3,3,2,4.8,92,7.625,1016,96.125,3,2,-3,296,122,119,0,1,3.3,météo très défavorable,17:03:00,08:36:00,3
2009-01-14,5,2,15,3,5,2,0.8,97,7,1018,67.375,5,4,-1,119,116,143,0,1,6.9,météo très défavorable,17:04:00,08:36:00,3
2009-01-15,4,-1,20,-1,4,0,0,92,9,1021,6.625,4,1,-6,113,113,113,0,1,8.7,météo très défavorable,17:05:00,08:35:00,0
2009-01-16,3,0,29,0,3,3,0.2,82,9.375,1021,57.625,3,2,-6,119,116,263,0,2,6.9,météo très défavorable,17:07:00,08:34:00,0
2009-01-17,6,2,32,4,6,6,1.6,94,8.375,1020,63.625,6,5,-2,116,119,263,0,3,5.1,météo très défavorable,17:09:00,08:33:00,3
2009-01-18,7,2,36,6,5,3,14.4,99,8.375,1009,75.5,7,5,-2,296,389,176,0,1,3.3,météo très défavorable,17:10:00,08:32:00,7
2009-01-19,8,3,51,5,8,7,10.3,93,7.75,1005,92.625,8,7,-2,119,302,389,0,2,3.3,météo très défavorable,17:12:00,08:31:00,4
2009-01-20,5,1,27,1,5,3,0.9,92,10,1000,50.375,5,3,-5,116,116,116,0,1,6.9,météo très défavorable,17:13:00,08:30:00,2
2009-01-21,4,0,16,1,4,1,0.3,97,9.875,1009,60.25,4,2,-3,119,317,113,0,1,5.1,météo très défavorable,17:15:00,08:29:00,2
2009-01-22,4,0,50,2,4,3,6.7,91,9.25,1008,62.875,4,3,-5,119,119,302,0,2,5.1,météo très défavorable,17:17:00,08:28:00,2
2009-01-23,7,2,51,6,7,2,30.8,96,7.5,989,99.625,7,6,-4,302,308,320,0,1,3.3,météo très défavorable,17:18:00,08:27:00,5
