DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2017-01-01,1,-4,19,-4,1,-2,0,49,10,1027,29.75,1,0,-9,113,113,116,0,2,8.1,météo très défavorable,16:47:00,08:41:00,-4
2017-01-02,3,-2,10,-1,3,-2,3.1,97,6.125,1027,57,3,1,-4,317,116,113,1,1,6.8,météo très défavorable,16:48:00,08:41:00,-1
2017-01-03,2,-2,21,-1,2,1,0.2,97,8,1029,60.25,2,0,-6,116,113,122,0,1,8.1,météo très défavorable,16:49:00,08:41:00,0
2017-01-04,5,1,27,3,5,1,6.5,97,6.625,1022,82.125,5,3,-2,266,296,182,0,1,3,météo très défavorable,16:51:00,08:41:00,3
2017-01-05,2,-3,13,-0,2,-1,0,95,7,1039,15.125,2,0,-4,143,113,113,0,2,8.1,météo très défavorable,16:52:00,08:40:00,-1
2017-01-06,-1,-4,9,-4,-1,-4,0,74,10,1041,38,0,0,-7,116,122,113,0,2,6.8,météo très défavorable,16:53:00,08:40:00,-4
2017-01-07,-1,-5,21,-3,-3,-1,4.2,85,7.625,1037,90.375,0,0,-10,122,311,122,0.5,2,3.1,météo très défavorable,16:54:00,08:40:00,-4
2017-01-08,4,0,8,1,4,2,0.7,100,0.25,1032,99.625,4,4,-1,248,248,248,0,1,3.1,météo très défavorable,16:56:00,08:39:00,1
2017-01-09,4,2,24,2,4,3,0.8,98,6.375,1031,97.5,4,3,-1,248,122,122,0,1,3.1,météo très défavorable,16:57:00,08:39:00,2
2017-01-10,5,2,10,2,5,3,7.9,97,5.125,1014,93,5,4,-2,293,122,266,0,1,3.1,météo très défavorable,16:58:00,08:38:00,4
