DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2015-01-01,3,-1,24,-1,3,-0,0,95,8.75,1037,27.25,3,0,-6,113,116,116,0,1,8.1,météo très défavorable,16:47:00,08:41:00,0
2015-01-02,8,0,31,2,8,3,3.4,95,9.75,1035,53.5,8,7,-4,296,116,113,0,2,6.8,météo très défavorable,16:48:00,08:41:00,1
2015-01-03,4,0,21,2,2,4,15.5,98,7.125,1035,82.375,4,4,-3,122,302,302,0,2,3,météo très défavorable,16:49:00,08:41:00,1
2015-01-04,5,1,12,2,5,1,0,93,5.75,1037,59.5,5,3,-1,119,116,143,0,1,6.8,météo très défavorable,16:50:00,08:41:00,3
2015-01-05,4,-1,16,-1,4,-0,0,95,10,1037,21.875,4,0,-5,113,113,113,0,2,8.1,météo très défavorable,16:51:00,08:40:00,0
2015-01-06,3,-1,21,-1,3,-1,0.1,69,10,1028,33.5,3,0,-5,113,113,119,0,2,6.8,météo très défavorable,16:52:00,08:40:00,0
2015-01-07,4,-1,18,-0,4,-1,0.3,95,7,1030,33,4,1,-4,143,113,116,0,1,8.1,météo très défavorable,16:54:00,08:40:00,1
2015-01-08,8,2,35,5,7,6,25.6,96,7.25,1030,83.125,8,7,-0,302,302,299,0,3,3.1,météo très défavorable,16:55:00,08:39:00,4
2015-01-09,11,4,38,5,9,9,3.1,95,7.75,1030,89.25,11,11,-0,122,119,296,0,2,3.1,météo très défavorable,16:56:00,08:39:00,5
2015-01-10,12,5,43,10,11,7,6.3,95,6,1019,80.25,12,11,7,266,266,296,0,2,3.1,météo défavorable,16:58:00,08:38:00,11
2015-01-11,5,2,33,2,5,4,0.2,87,9,1025,58.375,5,4,-4,113,116,122,0,2,5,météo très défavorable,16:59:00,08:38:00,2
2015-01-12,7,4,39,4,7,5,0.3,92,9,1024,88.875,7,5,-1,119,119,122,0,2,3.2,météo très défavorable,17:00:00,08:37:00,4
2015-01-13,7,5,40,6,7,6,3.4,91,9.625,1013,67.625,7,6,1,116,296,293,0,2,3.2,météo très défavorable,17:02:00,08:37:00,6
2015-01-14,5,3,40,3,4,3,6.2,94,8.625,1014,61.625,5,4,-3,293,293,116,0,2,5.1,météo très défavorable,17:03:00,08:36:00,5
2015-01-15,8,5,61,7,8,8,8.7,85,8.25,1009,100,8,6,1,296,296,296,0,2,3.3,météo très défavorable,17:05:00,08:35:00,7
2015-01-16,7,3,16,5,7,4,0.5,87,9,1009,63.625,7,3,1,122,113,116,0,2,6.9,météo très défavorable,17:06:00,08:34:00,5
2015-01-17,4,0,14,0,4,0,0,94,9,1017,22.75,4,2,-3,113,113,113,0,1,8.7,météo très défavorable,17:08:00,08:34:00,1
2015-01-18,4,-1,30,0,4,0,0.5,89,8.875,1016,87,4,0,-6,122,266,122,0,1,3.3,météo très défavorable,17:09:00,08:33:00,0
2015-01-19,2,-2,8,-1,2,1,1,84,7.125,1013,84.875,2,0,-2,332,122,338,0.9,2,3.3,météo très défavorable,17:11:00,08:32:00,-1
2015-01-20,3,-2,6,-2,3,-1,0.2,98,7.375,1014,68.875,3,0,-2,260,326,119,0.2,1,3.3,météo très défavorable,17:13:00,08:31:00,-2
2015-01-21,3,-2,19,-2,2,-1,0,77,10,1013,32.875,3,0,-6,116,113,113,0,1,8.7,météo très défavorable,17:14:00,08:30:00,-1
2015-01-22,1,-2,17,-2,1,-1,0,95,10,1022,76.375,1,0,-6,119,122,122,0,2,3.3,météo très défavorable,17:16:00,08:29:00,-2
2015-01-23,2,-4,9,-2,2,-4,0,96,9,1026,46.75,2,0,-5,143,113,116,0,1,8.7,météo très défavorable,17:18:00,08:28:00,-1
2015-01-24,2,-3,36,-2,2,1,15.2,99,8,1028,68.25,2,2,-10,311,320,116,5.7,2,3.3,météo très défavorable,17:19:00,08:26:00,-3
2015-01-25,2,-1,17,1,2,1,1.9,100,5.875,1031,84.375,2,2,-3,143,266,266,0,2,3.4,météo très défavorable,17:21:00,08:25:00,-1
2015-01-26,5,1,20,1,5,4,12,99,8,1028,99.375,5,5,-3,296,302,296,0,1,3.4,météo très défavorable,17:23:00,08:24:00,1
2015-01-27,4,2,19,3,4,2,0.2,95,9,1025,96.75,4,3,-2,122,122,143,0,1,3.4,météo très défavorable,17:24:00,08:23:00,3
2015-01-28,6,1,57,4,5,4,1.2,97,9.875,1023,88.125,6,4,-2,122,122,122,0,1,3.4,météo très défavorable,17:26:00,08:21:00,3
2015-01-29,5,1,34,3,5,4,15.3,92,7.25,1002,65.25,5,3,-4,371,362,389,1.5,2,5.2,météo très défavorable,17:28:00,08:20:00,1
2015-01-30,3,-1,18,0,2,2,3.1,91,4.875,980,89.375,3,1,-5,122,338,326,1.5,1,3.4,météo très défavorable,17:29:00,08:19:00,0
2015-01-31,3,-2,16,-2,3,0,1.2,94,8.25,987,68.5,3,1,-7,116,122,368,1,1,6.9,météo très défavorable,17:31:00,08:17:00,-1
2015-02-01,4,-1,31,1,3,2,3.8,93,6.75,999,97.125,4,2,-6,122,122,371,1.6,1,3.4,météo très défavorable,17:33:00,08:16:00,0
2015-02-02,2,-2,22,-1,2,-2,0.1,94,9.625,1004,69.125,2,1,-7,116,119,116,0.1,1,3.5,météo très défavorable,17:35:00,08:14:00,0
2015-02-03,3,-3,8,-3,2,-1,0,95,9,1009,74.75,3,0,-5,143,122,116,0,1,3.5,météo très défavorable,17:36:00,08:13:00,-2
2015-02-04,3,-3,13,-3,3,-1,0.2,95,8.625,1019,47.625,3,0,-8,143,119,116,0.2,2,7,météo très défavorable,17:38:00,08:11:00,-3
2015-02-05,1,-3,28,-3,1,-3,0.2,96,7.125,1024,63.875,1,0,-8,143,326,368,0.1,1,3.5,météo très défavorable,17:40:00,08:10:00,-3
2015-02-06,-0,-4,39,-3,-0,-2,0.2,82,7.75,1029,53.375,0,0,-11,122,119,113,0,2,5.2,météo très défavorable,17:42:00,08:08:00,-3
2015-02-07,3,-5,21,-4,2,1,0,90,10,1033,56.375,3,1,-10,113,119,122,0,2,5.2,météo très défavorable,17:43:00,08:07:00,-4
2015-02-08,5,-1,30,2,5,-0,0.6,89,8,1034,73.625,5,2,-3,338,122,116,0.3,1,5.3,météo très défavorable,17:45:00,08:05:00,2
2015-02-09,4,-1,19,1,4,3,0.7,98,9,1034,86.125,4,3,-3,122,122,122,0,1,3.5,météo très défavorable,17:47:00,08:03:00,0
2015-02-10,5,2,14,3,5,3,0.6,99,4,1033,91.375,5,4,0,248,266,119,0,1,3.6,météo très défavorable,17:49:00,08:02:00,3
