DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2016-01-01,7,4,14,4,7,5,0,94,9,1025,71.25,7,5,1,143,119,122,0,3,4.9,météo très défavorable,16:46:00,08:41:00,5
2016-01-02,9,6,30,6,9,7,8.7,91,7.375,1014,88,9,7,1,302,293,119,0,2,3,météo défavorable,16:48:00,08:41:00,6
2016-01-03,7,5,29,6,7,6,9.7,91,9.125,1007,85,7,5,0,296,116,296,0,2,6.8,météo très défavorable,16:49:00,08:41:00,7
2016-01-04,5,1,20,1,4,2,10.4,92,8.5,1018,75.375,5,4,-2,119,119,119,0,1,3,météo très défavorable,16:50:00,08:41:00,5
2016-01-05,7,2,24,5,7,5,1.3,93,6.5,1012,90.625,7,4,1,122,266,266,0,2,3,météo très défavorable,16:51:00,08:40:00,3
2016-01-06,8,4,14,5,8,4,0.7,94,9.875,999,88,8,5,1,122,122,353,0,2,3,météo très défavorable,16:52:00,08:40:00,5
2016-01-07,8,3,37,5,6,6,8.2,90,7,999,75.75,8,5,-1,122,302,266,0,2,3,météo très défavorable,16:53:00,08:40:00,4
2016-01-08,6,1,18,1,6,3,0,91,10,1006,10.125,6,2,-4,113,113,113,0,2,8.2,météo très défavorable,16:55:00,08:39:00,2
2016-01-09,8,3,28,3,8,6,0,92,10,1004,49.375,8,5,-1,116,116,119,0,3,6.8,météo très défavorable,16:56:00,08:39:00,3
2016-01-10,8,5,32,5,8,6,1.2,86,7.875,994,53.125,8,6,0,113,113,200,0,2,8.2,météo très défavorable,16:57:00,08:39:00,8
2016-01-11,7,3,31,4,7,6,3.6,94,7.25,994,83.125,7,5,0,122,296,266,0,3,3.1,météo très défavorable,16:59:00,08:38:00,3
2016-01-12,7,4,33,4,7,4,0.4,95,9.875,1001,87.625,7,3,-1,122,122,122,0,2,5.1,météo très défavorable,17:00:00,08:37:00,4
2016-01-13,6,2,30,4,6,2,5.3,90,7.75,1017,68.875,6,4,-2,296,353,113,0,1,5.1,météo très défavorable,17:01:00,08:37:00,4
2016-01-14,4,1,42,3,4,2,4.6,90,8.125,1015,75.375,4,2,-4,122,320,122,0,2,5.1,météo très défavorable,17:03:00,08:36:00,2
2016-01-15,2,-3,49,1,2,-0,40.7,100,4.75,1019,94.125,2,2,-6,320,320,338,12.3,1,3.3,météo très défavorable,17:04:00,08:35:00,2
2016-01-16,5,-5,28,-0,5,-0,1.4,95,8.625,1026,59,5,1,-5,119,122,371,1,1,6.9,météo très défavorable,17:06:00,08:35:00,-1
2016-01-17,-0,-8,15,-3,0,-8,1,94,6.375,1028,38.125,0,0,-8,338,113,143,0.9,1,8.7,météo très défavorable,17:07:00,08:34:00,-1
2016-01-18,-4,-9,15,-8,-4,-7,0,88,10,1026,47.875,0,0,-15,116,122,116,0,2,5.1,météo très défavorable,17:09:00,08:33:00,-9
2016-01-19,-3,-12,6,-11,-3,-10,0,86,10,1018,26.75,0,0,-14,116,113,113,0,2,8.7,météo très défavorable,17:11:00,08:32:00,-12
2016-01-20,0,-8,10,-5,0,-4,0,80,10,1022,66.625,0,0,-9,116,122,119,0,2,3.3,météo très défavorable,17:12:00,08:31:00,-7
2016-01-21,0,-6,8,-6,0,-4,0,94,10,1028,37.75,0,0,-8,119,113,113,0,1,8.7,météo très défavorable,17:14:00,08:30:00,-4
2016-01-22,1,-4,28,-4,-0,0,5.7,86,9.5,1028,41.125,1,1,-10,113,113,302,0,2,8.7,météo très défavorable,17:15:00,08:29:00,-3
2016-01-23,5,2,17,2,5,2,1,100,9.875,1035,89.625,5,5,-3,122,122,119,0,1,3.3,météo très défavorable,17:17:00,08:28:00,2
2016-01-24,7,3,30,4,6,6,1.9,96,7,1034,85.625,7,7,-1,266,122,119,0,3,3.3,météo très défavorable,17:19:00,08:27:00,3
2016-01-25,10,6,28,6,10,7,0,93,10,1030,17,10,6,3,113,113,113,0,3,8.7,météo défavorable,17:20:00,08:25:00,6
2016-01-26,9,6,39,8,9,7,0.4,97,8.375,1027,76,9,8,3,122,122,113,0,2,3.4,météo défavorable,17:22:00,08:24:00,8
2016-01-27,9,8,45,9,9,9,3.8,89,5.75,1020,100,9,8,4,122,122,266,0,2,3.4,météo défavorable,17:24:00,08:23:00,9
2016-01-28,9,3,16,6,7,4,3.7,93,9.75,1028,59.25,9,8,2,119,116,119,0,2,6.9,météo défavorable,17:26:00,08:22:00,9
2016-01-29,8,2,42,3,7,8,0.1,86,10,1028,66,8,6,-3,119,122,122,0,3,5.2,météo très défavorable,17:27:00,08:20:00,2
2016-01-30,8,4,57,8,8,5,21.7,93,7.5,1020,80.875,8,6,2,266,302,299,0,2,3.4,météo très défavorable,17:29:00,08:19:00,8
2016-01-31,11,3,35,4,7,11,6.1,96,8.5,1014,90.625,11,10,-0,122,296,296,0,3,3.4,météo très défavorable,17:31:00,08:18:00,3
