DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2011-01-01,1,-3,14,-1,1,1,0.4,100,1.75,1025,90.375,1,1,-5,260,248,248,0.1,1,3,météo très défavorable,16:47:00,08:41:00,-3
2011-01-02,-0,-8,9,-8,-0,-1,0.1,100,4.375,1026,69.875,0,0,-12,260,260,332,0.1,1,6.8,météo très défavorable,16:48:00,08:41:00,-3
2011-01-03,0,-6,10,-6,0,-2,0.1,100,3.375,1026,86,0,0,-10,260,143,260,0.1,1,3,météo très défavorable,16:49:00,08:41:00,-6
2011-01-04,-1,-6,18,-5,-1,-6,0,98,7.5,1022,64.5,0,0,-10,116,116,116,0,1,4.9,météo très défavorable,16:50:00,08:41:00,-5
2011-01-05,1,-8,22,-8,-3,-2,0,95,10,1016,25.75,1,0,-15,116,113,116,0,2,8.1,météo très défavorable,16:51:00,08:40:00,-7
2011-01-06,8,2,36,3,5,7,19.6,100,7.75,1000,96.25,8,7,-2,302,302,389,0,1,3,météo très défavorable,16:52:00,08:40:00,2
2011-01-07,9,2,20,5,9,8,2,98,6,1006,82.375,9,9,2,266,119,116,0,2,3.1,météo très défavorable,16:54:00,08:40:00,2
2011-01-08,10,7,37,7,10,9,4.3,97,8.375,1006,80.75,10,9,3,119,122,296,0,2,4.9,météo défavorable,16:55:00,08:39:00,8
2011-01-09,8,1,15,2,4,2,16.3,100,7.875,1020,70.375,8,8,-1,302,119,116,0,1,3.1,météo très défavorable,16:56:00,08:39:00,4
2011-01-10,5,-1,17,-0,5,1,0,93,9,1022,20.125,5,2,-4,116,113,116,0,1,8.2,météo très défavorable,16:58:00,08:38:00,-1
2011-01-11,5,-1,29,0,4,4,3.4,98,6.75,1014,67.375,5,4,-6,116,296,296,0,2,3.1,météo très défavorable,16:59:00,08:38:00,-1
2011-01-12,9,1,29,1,4,7,11.7,99,7,1019,93.375,9,9,-4,119,296,302,0,1,3.2,météo très défavorable,17:00:00,08:37:00,2
2011-01-13,12,10,30,10,11,11,16.6,98,7,1013,99.625,12,11,7,296,296,266,0,3,3.2,météo très défavorable,17:02:00,08:37:00,10
2011-01-14,11,8,31,8,10,9,3.9,97,8,1015,87.25,11,10,5,122,266,296,0,2,3.3,météo défavorable,17:03:00,08:36:00,10
2011-01-15,7,5,27,6,7,5,1.4,96,8.875,1024,72.375,7,6,1,122,266,116,0,2,5.1,météo très défavorable,17:05:00,08:35:00,6
2011-01-16,9,5,22,5,9,5,0,97,10,1025,34.75,9,7,1,116,113,113,0,2,8.7,météo très défavorable,17:06:00,08:34:00,6
2011-01-17,7,3,22,3,7,5,0.3,97,9,1025,53.125,7,6,-1,116,116,119,0,2,6.9,météo très défavorable,17:08:00,08:34:00,4
2011-01-18,8,3,21,5,8,4,3.2,100,9,1029,82.125,8,7,2,119,353,353,0,2,3.3,météo très défavorable,17:09:00,08:33:00,6
2011-01-19,5,3,14,3,5,3,0.7,96,9,1032,87.625,5,3,-0,143,119,122,0,1,3.3,météo très défavorable,17:11:00,08:32:00,3
2011-01-20,3,-2,17,0,3,-1,0.1,97,8.375,1033,80.625,3,1,-4,122,119,119,0.1,1,5.1,météo très défavorable,17:13:00,08:31:00,0
2011-01-21,2,-4,13,-4,2,-3,0,98,5.5,1036,47.375,2,0,-8,260,113,143,0,1,8.7,météo très défavorable,17:14:00,08:30:00,-3
2011-01-22,3,-1,15,1,3,1,1,99,4.25,1035,100,3,3,-3,266,122,248,0.1,1,3.3,météo très défavorable,17:16:00,08:29:00,1
2011-01-23,4,-1,14,-1,4,2,2.2,99,1.5,1030,96.25,4,3,-4,266,266,266,0,1,3.3,météo très défavorable,17:18:00,08:28:00,1
2011-01-24,5,1,14,2,5,3,1.1,99,2,1028,98,5,5,-1,248,266,122,0,1,3.3,météo très défavorable,17:19:00,08:26:00,2
2011-01-25,4,0,24,-0,3,3,5.6,100,7.25,1023,94.75,4,4,-6,119,266,296,0,1,3.4,météo très défavorable,17:21:00,08:25:00,1
2011-01-26,4,-2,18,2,4,-2,2.4,99,6.625,1013,79.125,4,3,-2,266,119,119,0,1,5.1,météo très défavorable,17:23:00,08:24:00,3
2011-01-27,2,-3,23,-3,2,-3,0.1,97,9.5,1021,53.625,2,0,-8,116,326,179,0.1,1,5.2,météo très défavorable,17:24:00,08:23:00,-3
2011-01-28,1,-4,23,-4,1,-3,0,90,10,1022,11.25,1,0,-10,113,113,113,0,2,8.7,météo très défavorable,17:26:00,08:21:00,-4
2011-01-29,1,-5,17,-5,1,-4,0,96,6.5,1022,16.75,1,0,-8,143,113,113,0,1,8.7,météo très défavorable,17:28:00,08:20:00,-4
2011-01-30,1,-6,17,-6,1,-6,0,87,10,1021,1.25,1,0,-12,113,113,113,0,2,8.7,météo très défavorable,17:29:00,08:19:00,-6
2011-01-31,1,-7,8,-7,1,-5,0,91,10,1026,15,1,0,-11,113,113,116,0,2,8.7,météo très défavorable,17:31:00,08:17:00,-6
2011-02-01,0,-7,17,-7,0,-4,0.2,87,8.875,1028,22.875,0,0,-11,113,113,119,0,2,8.7,météo très défavorable,17:33:00,08:16:00,-5
2011-02-02,4,-1,22,-0,4,-1,0,97,8.75,1030,49.375,4,0,-6,119,113,116,0,1,8.7,météo très défavorable,17:35:00,08:14:00,0
2011-02-03,6,0,22,2,6,2,2.6,97,9.75,1027,80.625,6,4,-3,296,119,116,0,1,3.5,météo très défavorable,17:36:00,08:13:00,1
2011-02-04,8,2,36,3,7,7,1.5,96,7,1025,84.375,8,7,-3,119,266,119,0,2,3.5,météo très défavorable,17:38:00,08:11:00,2
2011-02-05,9,7,36,7,9,8,0.4,97,9,1024,82.5,9,8,2,119,119,119,0,2,3.5,météo défavorable,17:40:00,08:10:00,8
2011-02-06,8,4,29,6,8,5,0.1,96,10,1026,70.5,8,7,1,119,116,119,0,2,7,météo très défavorable,17:42:00,08:08:00,7
2011-02-07,9,3,30,3,9,6,0.1,96,10,1024,41.125,9,6,-2,116,113,116,0,3,8.7,météo très défavorable,17:43:00,08:07:00,3
2011-02-08,11,3,6,3,10,5,0.2,98,7.75,1025,39.375,11,6,0,248,113,113,0,2,8.7,météo très défavorable,17:45:00,08:05:00,6
2011-02-09,9,1,13,1,9,4,0,93,10,1024,11.875,9,4,-2,113,113,113,0,3,8.7,météo très défavorable,17:47:00,08:03:00,1
2011-02-10,9,1,25,1,9,6,1.3,92,8.875,1020,58.625,9,8,-4,116,116,266,0,3,7,météo très défavorable,17:49:00,08:02:00,1
2011-02-11,11,7,21,9,10,9,11.3,98,7.125,1015,87.625,11,10,6,296,122,113,0,2,3.6,météo défavorable,17:50:00,08:00:00,9
2011-02-12,11,4,22,6,11,7,0.4,96,9.875,1015,74.25,11,8,3,122,116,119,0,2,5.4,météo défavorable,17:52:00,07:58:00,6
2011-02-13,7,1,22,1,7,4,0,96,8,1014,60,7,4,-3,143,116,122,0,2,7,météo très défavorable,17:54:00,07:57:00,1
2011-02-14,7,2,17,2,7,4,4.7,96,7.125,1006,85.25,7,6,-1,122,296,296,0,2,3.8,météo très défavorable,17:56:00,07:55:00,3
2011-02-15,7,1,21,1,7,2,0.6,96,9.375,1004,66.125,7,3,-3,119,119,116,0,1,3.8,météo très défavorable,17:57:00,07:53:00,2
2011-02-16,10,2,14,2,9,3,0,97,10,1000,42,10,4,-2,122,113,113,0,2,7.1,météo très défavorable,17:59:00,07:51:00,3
2011-02-17,9,0,18,1,9,2,0,93,9,1009,9.5,9,3,-3,113,113,113,0,2,10.5,météo très défavorable,18:01:00,07:49:00,2
2011-02-18,6,-2,5,-2,6,-1,0,97,7,1016,23.5,6,1,-3,143,113,113,0,1,10.6,météo très défavorable,18:02:00,07:47:00,-2
2011-02-19,7,-2,20,-2,7,2,1.5,87,9.25,1016,44.5,7,0,-6,116,116,263,0,2,10,météo très défavorable,18:04:00,07:46:00,-2
2011-02-20,5,0,11,0,5,1,3.2,90,6.875,1016,90.875,5,2,-2,266,266,122,0,1,5.3,météo très défavorable,18:06:00,07:44:00,1
2011-02-21,5,-3,13,-3,5,-1,0,94,10,1017,60.875,5,0,-7,323,116,116,0,1,10,météo très défavorable,18:08:00,07:42:00,-2
2011-02-22,4,-5,11,-5,4,-3,0,91,10,1022,29,4,0,-9,116,116,113,0,2,10.7,météo très défavorable,18:09:00,07:40:00,-4
2011-02-23,4,-5,21,-5,4,1,0.7,72,9,1024,53,4,0,-10,116,119,122,0,2,6.9,météo très défavorable,18:11:00,07:38:00,-5
2011-02-24,7,0,18,1,7,5,6,98,4.375,1026,98,7,7,-4,296,266,266,0,1,5.4,météo très défavorable,18:13:00,07:36:00,1
2011-02-25,8,3,13,4,8,5,0.5,98,5.5,1028,85,8,6,1,248,119,143,0,2,7,météo très défavorable,18:14:00,07:34:00,3
2011-02-26,8,4,27,4,7,6,7.7,97,8.375,1024,88.125,8,7,0,119,296,302,0,2,5.4,météo très défavorable,18:16:00,07:32:00,4
2011-02-27,6,1,24,1,6,3,1.3,90,7.875,1017,64.75,6,4,-3,119,119,119,0,1,5.4,météo très défavorable,18:18:00,07:30:00,2
2011-02-28,4,0,11,2,4,2,1.1,99,6,1029,79.125,4,2,-1,317,119,119,0.1,1,5.5,météo très défavorable,18:19:00,07:28:00,1
2011-03-01,7,-2,30,-1,7,2,0.1,99,8.75,1033,57.125,7,3,-5,119,116,119,0,1,10.1,météo très défavorable,18:21:00,07:26:00,-2
2011-03-02,8,-1,26,-1,7,2,0,96,10,1033,36.25,8,2,-6,116,113,116,0,1,11,météo très défavorable,18:23:00,07:23:00,0
2011-03-03,8,1,21,1,7,4,0.4,92,8.875,1013,58.375,8,2,-2,119,116,116,0,2,10.1,météo très défavorable,18:25:00,07:21:00,2
2011-03-04,7,2,24,2,7,4,1.7,89,8.5,1009,66.875,7,3,-3,119,119,119,0,1,8.6,météo très défavorable,18:26:00,07:19:00,2
2011-03-05,7,0,19,0,6,3,0.9,94,8.375,1012,60.625,7,1,-3,119,119,119,0,1,7.1,météo très défavorable,18:28:00,07:17:00,1
2011-03-06,8,2,18,2,8,3,0.9,88,9.375,1015,62.75,8,2,-2,119,119,116,0,1,7.1,météo très défavorable,18:30:00,07:15:00,2
2011-03-07,8,-4,20,-4,8,-0,0,73,10,1032,0,8,0,-9,113,113,113,0,2,11.2,météo très défavorable,18:31:00,07:13:00,-3
2011-03-08,11,-3,21,-3,10,5,0,60,10,1028,1.125,11,4,-7,113,113,113,0,3,11.2,météo très défavorable,18:33:00,07:11:00,-2
2011-03-09,8,4,28,6,8,6,1.2,100,7,1019,71.875,8,6,2,119,266,266,0,3,5.6,météo très défavorable,18:35:00,07:09:00,5
2011-03-10,8,2,33,2,8,7,0.6,98,7,1019,85.75,8,7,-3,119,122,266,0,2,5.7,météo très défavorable,18:36:00,07:06:00,3
2011-03-11,10,3,22,6,10,5,0.4,98,9,1018,60.75,10,7,3,122,116,113,0,2,10.1,météo défavorable,18:38:00,07:04:00,7
2011-03-12,13,3,23,3,13,8,0.5,90,9,1015,56.375,13,6,-1,122,113,119,0,3,8.6,météo correcte,18:40:00,07:02:00,3
2011-03-13,11,5,19,5,11,8,2.8,98,9.125,1007,84.625,11,7,2,119,122,296,0,2,5.7,météo très défavorable,18:41:00,07:00:00,6
2011-03-14,11,6,7,6,11,9,2.8,98,7.875,1017,82.5,11,8,4,266,119,119,0,2,5.9,météo défavorable,18:43:00,06:58:00,6
2011-03-15,17,5,15,5,16,10,0,94,7,1017,17.875,17,9,2,143,113,116,0,3,11.6,météo correcte,18:45:00,06:55:00,5
