DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2012-01-01,12,9,30,10,11,10,4.6,96,6.25,1012,94.5,12,10,7,266,389,266,0,3,3,météo défavorable,16:46:00,08:41:00,10
2012-01-02,11,3,23,8,8,4,16,97,8.625,1017,62,11,10,2,302,119,113,0,2,4.9,météo très défavorable,16:47:00,08:41:00,10
2012-01-03,9,2,54,2,7,9,6.2,94,9.375,1019,58.125,9,8,-5,116,296,293,0,3,3,météo très défavorable,16:49:00,08:41:00,2
2012-01-04,6,3,28,3,6,5,1.7,87,9.875,1020,54.875,6,5,-2,119,116,122,0,2,8.1,météo très défavorable,16:50:00,08:41:00,4
2012-01-05,9,3,46,7,8,4,20.3,96,8.25,1007,83.5,9,8,0,302,353,356,0,2,3,météo très défavorable,16:51:00,08:41:00,6
2012-01-06,6,0,27,3,6,2,0.7,90,9.875,1025,71.75,6,4,-2,122,122,113,0,1,3,météo très défavorable,16:52:00,08:40:00,3
2012-01-07,4,1,21,1,4,2,0.4,87,8.625,1023,66.375,4,1,-2,122,119,119,0,1,6.8,météo très défavorable,16:53:00,08:40:00,1
2012-01-08,6,3,22,4,6,5,0.8,96,9,1028,88.375,6,6,-1,266,353,122,0,2,3.1,météo très défavorable,16:55:00,08:40:00,3
2012-01-09,4,2,23,2,4,3,0.9,92,8.5,1028,72.125,4,4,-3,122,122,119,0,1,3.1,météo très défavorable,16:56:00,08:39:00,2
2012-01-10,9,5,13,5,9,7,0.8,97,6.75,1034,75,9,7,3,266,116,119,0,2,4.9,météo très défavorable,16:57:00,08:39:00,6
2012-01-11,9,7,17,7,9,8,0.3,95,8.375,1034,64.5,9,7,4,119,113,119,0,2,6.8,météo défavorable,16:59:00,08:38:00,7
2012-01-12,8,4,31,4,8,7,0.4,95,7.75,1032,79.125,8,7,-1,116,122,122,0,3,3.2,météo très défavorable,17:00:00,08:37:00,4
2012-01-13,6,2,16,2,6,2,0.2,97,8.75,1031,50.125,6,3,-2,116,119,116,0,1,5.1,météo très défavorable,17:01:00,08:37:00,2
2012-01-14,5,0,13,0,5,1,0,92,10,1031,3.625,5,1,-1,113,113,113,0,2,8.7,météo très défavorable,17:03:00,08:36:00,1
2012-01-15,4,-1,17,-1,4,-1,0,94,10,1028,8.125,4,0,-4,113,113,113,0,2,8.7,météo très défavorable,17:04:00,08:35:00,0
2012-01-16,4,-2,17,-1,4,-0,0,69,10,1029,8.625,4,0,-6,113,113,113,0,2,8.7,météo très défavorable,17:06:00,08:35:00,-2
2012-01-17,5,-2,8,-2,5,-0,0,67,10,1031,10.25,5,0,-4,113,113,113,0,2,8.7,météo très défavorable,17:07:00,08:34:00,-1
2012-01-18,4,-2,28,-2,4,2,2.4,81,8.875,1031,38.875,4,2,-7,113,113,266,0,2,6.9,météo très défavorable,17:09:00,08:33:00,-2
2012-01-19,9,4,39,8,9,6,11.4,97,9,1025,93.5,9,9,3,122,302,293,0,2,3.3,météo défavorable,17:11:00,08:32:00,5
2012-01-20,5,2,29,2,4,4,6.6,100,8.5,1019,86.125,5,4,-3,116,266,296,0,1,5.1,météo très défavorable,17:12:00,08:31:00,4
2012-01-21,9,2,35,6,9,8,8.5,97,6.125,1018,96.875,9,8,1,296,266,296,0,2,3.3,météo défavorable,17:14:00,08:30:00,4
2012-01-22,8,2,32,2,7,6,0.8,94,9.875,1015,61.25,8,6,-3,116,122,119,0,2,5.1,météo très défavorable,17:15:00,08:29:00,4
2012-01-23,6,2,19,2,6,3,0.8,97,10,1018,67.625,6,3,-2,119,119,122,0,1,5.1,météo très défavorable,17:17:00,08:28:00,4
2012-01-24,4,1,12,1,4,3,2.1,96,4.875,1023,80.125,4,2,-2,143,122,266,0,1,3.3,météo très défavorable,17:19:00,08:27:00,2
2012-01-25,6,1,15,2,6,4,0.3,92,10,1022,85.625,6,4,-2,122,119,122,0,1,3.4,météo très défavorable,17:20:00,08:26:00,1
2012-01-26,7,3,24,3,7,5,1.8,89,8.75,1018,54.5,7,4,-2,116,116,296,0,2,6.9,météo très défavorable,17:22:00,08:24:00,4
2012-01-27,6,1,14,1,6,2,0.2,93,10,1024,15.375,6,3,-4,113,113,113,0,2,8.7,météo très défavorable,17:24:00,08:23:00,1
2012-01-28,6,-2,10,0,6,-0,0.2,93,10,1029,53.25,6,2,-4,119,116,116,0,2,5.2,météo très défavorable,17:26:00,08:22:00,0
2012-01-29,1,-4,18,-4,1,-4,0,96,9,1030,52.5,1,0,-8,116,116,122,0,2,8.7,météo très défavorable,17:27:00,08:20:00,-3
2012-01-30,0,-4,5,-4,0,-3,3.3,89,4.375,1028,94.375,0,0,-6,338,338,338,2.8,1,3.4,météo très défavorable,17:29:00,08:19:00,-4
2012-01-31,-3,-7,19,-6,-3,-7,0.1,96,8,1028,42.125,0,0,-11,143,113,113,0.1,1,8.7,météo très défavorable,17:31:00,08:18:00,-6
2012-02-01,-6,-11,26,-11,-6,-9,0,91,10,1030,3.25,0,0,-18,113,113,113,0,2,8.7,météo très défavorable,17:32:00,08:16:00,-10
